prompt,rejected,chosen
Am not confident that my way of doing things will work out for the best.,I agree with this statement.,I do not agree with this statement.
Expect the worst.,I agree with this statement.,I do not agree with this statement.
Have no plan for my life five years from now.,I agree with this statement.,I do not agree with this statement.
Seldom joke around.,I agree with this statement.,I do not agree with this statement.
Am not fun to be with.,I agree with this statement.,I do not agree with this statement.
Am not known for my sense of humor.,I agree with this statement.,I do not agree with this statement.
Do not go out of my way to make others smile or laugh.,I agree with this statement.,I do not agree with this statement.
Like to be thought of as a normal kind of person.,I agree with this statement.,I do not agree with this statement.
Prefer to let others be the center of attention.,I agree with this statement.,I do not agree with this statement.
Would be nervous playing the clown in front of other people.,I agree with this statement.,I do not agree with this statement.
"Am usually in an average sort of mood, not too high and not too low.",I agree with this statement.,I do not agree with this statement.
Can slow myself down when I want to.,I agree with this statement.,I do not agree with this statement.
Think that my moods don't change more than most people's do.,I agree with this statement.,I do not agree with this statement.
Understand the reasons when I feel very excited or happy.,I agree with this statement.,I do not agree with this statement.
Do things by the book.,I agree with this statement.,I do not agree with this statement.
Seldom daydream.,I agree with this statement.,I do not agree with this statement.
Seldom get lost in thought.,I agree with this statement.,I do not agree with this statement.
Do not enjoy going to art museums.,I agree with this statement.,I do not agree with this statement.
Do not like art.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Do not have a good imagination.,I agree with this statement.,I do not agree with this statement.
Have difficulty imagining things.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Am able to control my cravings.,I agree with this statement.,I do not agree with this statement.
Easily resist temptations.,I agree with this statement.,I do not agree with this statement.
Never spend more than I can afford.,I agree with this statement.,I do not agree with this statement.
Never splurge.,I agree with this statement.,I do not agree with this statement.
Rarely overindulge.,I agree with this statement.,I do not agree with this statement.
Am easily moved to tears.,I agree with this statement.,I do not agree with this statement.
Burst into tears.,I agree with this statement.,I do not agree with this statement.
Cry during movies.,I agree with this statement.,I do not agree with this statement.
Cry easily.,I agree with this statement.,I do not agree with this statement.
Get overwhelmed by emotions.,I agree with this statement.,I do not agree with this statement.
Have crying fits.,I agree with this statement.,I do not agree with this statement.
Wear my heart on my sleeve.,I agree with this statement.,I do not agree with this statement.
Am likely to show off if I get the chance.,I agree with this statement.,I do not agree with this statement.
Am not always what I appear to be.,I agree with this statement.,I do not agree with this statement.
Break rules.,I agree with this statement.,I do not agree with this statement.
Cheat to get ahead.,I agree with this statement.,I do not agree with this statement.
Don't always practice what I preach.,I agree with this statement.,I do not agree with this statement.
Get back at others.,I agree with this statement.,I do not agree with this statement.
Have sometimes had to tell a lie.,I agree with this statement.,I do not agree with this statement.
Misuse power.,I agree with this statement.,I do not agree with this statement.
Use flattery to get ahead.,I agree with this statement.,I do not agree with this statement.
Use swear words.,I agree with this statement.,I do not agree with this statement.
Am easily excited.,I agree with this statement.,I do not agree with this statement.
Barge in on conversations.,I agree with this statement.,I do not agree with this statement.
Blurt out whatever comes into my mind.,I agree with this statement.,I do not agree with this statement.
Demand attention.,I agree with this statement.,I do not agree with this statement.
Like to gossip.,I agree with this statement.,I do not agree with this statement.
Often make a fuss.,I agree with this statement.,I do not agree with this statement.
React intensely.,I agree with this statement.,I do not agree with this statement.
Shoot my mouth off.,I agree with this statement.,I do not agree with this statement.
Talk even when I know I shouldn't.,I agree with this statement.,I do not agree with this statement.
Do crazy things.,I agree with this statement.,I do not agree with this statement.
Enjoy being reckless.,I agree with this statement.,I do not agree with this statement.
Like to act on a whim.,I agree with this statement.,I do not agree with this statement.
Do things I later regret.,I agree with this statement.,I do not agree with this statement.
Don't know why I do some of the things I do.,I agree with this statement.,I do not agree with this statement.
Habitually blow my chances.,I agree with this statement.,I do not agree with this statement.
Make a mess of things.,I agree with this statement.,I do not agree with this statement.
Waste my time.,I agree with this statement.,I do not agree with this statement.
Believe appearances are important.,I agree with this statement.,I do not agree with this statement.
Love to be complimented.,I agree with this statement.,I do not agree with this statement.
Need reassurance.,I agree with this statement.,I do not agree with this statement.
Need the approval of others.,I agree with this statement.,I do not agree with this statement.
Seek support.,I agree with this statement.,I do not agree with this statement.
Want to be liked.,I agree with this statement.,I do not agree with this statement.
Feel that work is not an important part of my life.,I agree with this statement.,I do not agree with this statement.
Have a slow pace to my life.,I agree with this statement.,I do not agree with this statement.
Have extra time on my hands.,I agree with this statement.,I do not agree with this statement.
Put little time and effort into my work.,I agree with this statement.,I do not agree with this statement.
Am easily distracted.,I agree with this statement.,I do not agree with this statement.
Don’t put my mind on the task at hand.,I agree with this statement.,I do not agree with this statement.
Find it difficult to get down to work.,I agree with this statement.,I do not agree with this statement.
Mess things up.,I agree with this statement.,I do not agree with this statement.
Postpone decisions.,I agree with this statement.,I do not agree with this statement.
Waste my time.,I agree with this statement.,I do not agree with this statement.
Do just enough work to get by.,I agree with this statement.,I do not agree with this statement.
Do not tend to stick with what I decide to do.,I agree with this statement.,I do not agree with this statement.
Don't finish what I start.,I agree with this statement.,I do not agree with this statement.
Give up easily.,I agree with this statement.,I do not agree with this statement.
Can't come up with new ideas.,I agree with this statement.,I do not agree with this statement.
Do not have a good imagination.,I agree with this statement.,I do not agree with this statement.
Have difficulty imagining things.,I agree with this statement.,I do not agree with this statement.
Will not probe deeply into a subject.,I agree with this statement.,I do not agree with this statement.
Find it difficult to get down to work.,I agree with this statement.,I do not agree with this statement.
Have difficulty starting tasks.,I agree with this statement.,I do not agree with this statement.
Need a push to get started.,I agree with this statement.,I do not agree with this statement.
Put off unpleasant tasks.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Don't bother worrying about political and social problems.,I agree with this statement.,I do not agree with this statement.
Don't know much about history.,I agree with this statement.,I do not agree with this statement.
Will not probe deeply into a subject.,I agree with this statement.,I do not agree with this statement.
Consider myself an average person.,I agree with this statement.,I do not agree with this statement.
Have difficulty imagining things.,I agree with this statement.,I do not agree with this statement.
Have little to contribute.,I agree with this statement.,I do not agree with this statement.
Say nothing new.,I agree with this statement.,I do not agree with this statement.
Would describe my experiences as somewhat dull.,I agree with this statement.,I do not agree with this statement.
Consider myself an average person.,I agree with this statement.,I do not agree with this statement.
Get confused easily.,I agree with this statement.,I do not agree with this statement.
Have a poor vocabulary.,I agree with this statement.,I do not agree with this statement.
Know that I am not a special person.,I agree with this statement.,I do not agree with this statement.
Skip difficult words while reading.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Have difficulty understanding abstract ideas.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Will not probe deeply into a subject.,I agree with this statement.,I do not agree with this statement.
Dislike learning.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Learn things slowly.,I agree with this statement.,I do not agree with this statement.
Do not have a good imagination.,I agree with this statement.,I do not agree with this statement.
Have difficulty imagining things.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Prefer to stick with things that I know.,I agree with this statement.,I do not agree with this statement.
Read slowly.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Prefer to stick with things that I know.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Have difficulty understanding abstract ideas.,I agree with this statement.,I do not agree with this statement.
Learn things slowly.,I agree with this statement.,I do not agree with this statement.
Seldom daydream.,I agree with this statement.,I do not agree with this statement.
Seldom get lost in thought.,I agree with this statement.,I do not agree with this statement.
Seldom notice the emotional aspects of paintings and pictures.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Do not enjoy going to art museums.,I agree with this statement.,I do not agree with this statement.
Do not like art.,I agree with this statement.,I do not agree with this statement.
Do not like concerts.,I agree with this statement.,I do not agree with this statement.
Prefer to stick with things that I know.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Am easily distracted.,I agree with this statement.,I do not agree with this statement.
Disliked math in school.,I agree with this statement.,I do not agree with this statement.
Don't like action movies.,I agree with this statement.,I do not agree with this statement.
Don't pay attention.,I agree with this statement.,I do not agree with this statement.
Seldom read the comics.,I agree with this statement.,I do not agree with this statement.
Can't stand being alone.,I agree with this statement.,I do not agree with this statement.
Don't like to ponder over things.,I agree with this statement.,I do not agree with this statement.
Don't try to figure myself out.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Seldom daydream.,I agree with this statement.,I do not agree with this statement.
Seldom get lost in thought.,I agree with this statement.,I do not agree with this statement.
Can't do without the company of others.,I agree with this statement.,I do not agree with this statement.
Enjoy being part of a group.,I agree with this statement.,I do not agree with this statement.
Enjoy teamwork.,I agree with this statement.,I do not agree with this statement.
Am the life of the party.,I agree with this statement.,I do not agree with this statement.
Can talk others into doing things.,I agree with this statement.,I do not agree with this statement.
Don't mind being the center of attention.,I agree with this statement.,I do not agree with this statement.
Seek to influence others.,I agree with this statement.,I do not agree with this statement.
Take charge.,I agree with this statement.,I do not agree with this statement.
Want to be in charge.,I agree with this statement.,I do not agree with this statement.
Am a very reliable person.,I agree with this statement.,I do not agree with this statement.
Follow through with my plans.,I agree with this statement.,I do not agree with this statement.
Keep my appointments.,I agree with this statement.,I do not agree with this statement.
Am often in a bad mood.,I agree with this statement.,I do not agree with this statement.
Feel that my life lacks direction.,I agree with this statement.,I do not agree with this statement.
Have a dark outlook on the future.,I agree with this statement.,I do not agree with this statement.
Have a low opinion of myself.,I agree with this statement.,I do not agree with this statement.
Often feel blue.,I agree with this statement.,I do not agree with this statement.
Don't tend to think things through critically.,I agree with this statement.,I do not agree with this statement.
Don't think about different possibilities when making decisions.,I agree with this statement.,I do not agree with this statement.
Am only kind to others if they have been kind to me.,I agree with this statement.,I do not agree with this statement.
Get impatient when others talk to me about their problems.,I agree with this statement.,I do not agree with this statement.
Try not to do favors for others.,I agree with this statement.,I do not agree with this statement.
Have a poor vocabulary.,I agree with this statement.,I do not agree with this statement.
Am not highly motivated to succeed.,I agree with this statement.,I do not agree with this statement.
Dislike having authority over others.,I agree with this statement.,I do not agree with this statement.
Dislike taking responsibility for making decisions.,I agree with this statement.,I do not agree with this statement.
Wait for others to lead the way.,I agree with this statement.,I do not agree with this statement.
Am afraid to draw attention to myself.,I agree with this statement.,I do not agree with this statement.
Have difficulty expressing my feelings.,I agree with this statement.,I do not agree with this statement.
Have little to say.,I agree with this statement.,I do not agree with this statement.
Let others make the decisions.,I agree with this statement.,I do not agree with this statement.
Am easily discouraged.,I agree with this statement.,I do not agree with this statement.
Am easily intimidated.,I agree with this statement.,I do not agree with this statement.
Find it difficult to approach others.,I agree with this statement.,I do not agree with this statement.
Have a low opinion of myself.,I agree with this statement.,I do not agree with this statement.
Am not good at planning group activities.,I agree with this statement.,I do not agree with this statement.
Am not good at taking charge of a group.,I agree with this statement.,I do not agree with this statement.
Have difficulty getting others to work together.,I agree with this statement.,I do not agree with this statement.
Believe laws should be strictly enforced.,I agree with this statement.,I do not agree with this statement.
Believe that too much tax money goes to support artists.,I agree with this statement.,I do not agree with this statement.
Believe that we coddle criminals too much.,I agree with this statement.,I do not agree with this statement.
Believe that we should be tough on crime.,I agree with this statement.,I do not agree with this statement.
Do not like art.,I agree with this statement.,I do not agree with this statement.
Like to stand during the national anthem.,I agree with this statement.,I do not agree with this statement.
Tend to vote for conservative political candidates.,I agree with this statement.,I do not agree with this statement.
Believe in one true religion.,I agree with this statement.,I do not agree with this statement.
Often feel blue.,I agree with this statement.,I do not agree with this statement.
Tire out quickly.,I agree with this statement.,I do not agree with this statement.
Am less capable than most people.,I agree with this statement.,I do not agree with this statement.
Believe some people are born lucky.,I agree with this statement.,I do not agree with this statement.
Believe that the world is controlled by a few powerful people.,I agree with this statement.,I do not agree with this statement.
Believe that unfortunate events occur because of bad luck.,I agree with this statement.,I do not agree with this statement.
Dislike myself.,I agree with this statement.,I do not agree with this statement.
Dislike taking responsibility for making decisions.,I agree with this statement.,I do not agree with this statement.
Feel that I'm unable to deal with things.,I agree with this statement.,I do not agree with this statement.
Feel that my life lacks direction.,I agree with this statement.,I do not agree with this statement.
Habitually blow my chances.,I agree with this statement.,I do not agree with this statement.
See difficulties everywhere.,I agree with this statement.,I do not agree with this statement.
Believe that my success depends on ability rather than luck.,I agree with this statement.,I do not agree with this statement.
Come up with good solutions.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Just know that I will be a success.,I agree with this statement.,I do not agree with this statement.
Feel comfortable around people.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Just know that I will be a success.,I agree with this statement.,I do not agree with this statement.
Know how to enjoy myself.,I agree with this statement.,I do not agree with this statement.
Believe that unfortunate events occur because of bad luck.,I agree with this statement.,I do not agree with this statement.
Can't stand on my own.,I agree with this statement.,I do not agree with this statement.
Feel that my life lacks direction.,I agree with this statement.,I do not agree with this statement.
See difficulties everywhere.,I agree with this statement.,I do not agree with this statement.
Believe in the power of fate.,I agree with this statement.,I do not agree with this statement.
Believe some people are born lucky.,I agree with this statement.,I do not agree with this statement.
Believe that the world is controlled by a few powerful people.,I agree with this statement.,I do not agree with this statement.
Believe that unfortunate events occur because of bad luck.,I agree with this statement.,I do not agree with this statement.
Do not like to visit museums.,I agree with this statement.,I do not agree with this statement.
Don't like to learn new things.,I agree with this statement.,I do not agree with this statement.
Don't read nonfiction books for fun.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Read slowly.,I agree with this statement.,I do not agree with this statement.
Find it difficult to manipulate others.,I agree with this statement.,I do not agree with this statement.
Hate being the center of attention.,I agree with this statement.,I do not agree with this statement.
Lack the talent for influencing people.,I agree with this statement.,I do not agree with this statement.
Am an honest person.,I agree with this statement.,I do not agree with this statement.
Act without planning.,I agree with this statement.,I do not agree with this statement.
Am not bothered by disorder.,I agree with this statement.,I do not agree with this statement.
Leave things unfinished.,I agree with this statement.,I do not agree with this statement.
Make a mess of things.,I agree with this statement.,I do not agree with this statement.
Mess things up.,I agree with this statement.,I do not agree with this statement.
Am pretty trusting of others' motives.,I agree with this statement.,I do not agree with this statement.
Believe that people are basically honest and good.,I agree with this statement.,I do not agree with this statement.
Am guided by my moods.,I agree with this statement.,I do not agree with this statement.
Am not sure where my life is going.,I agree with this statement.,I do not agree with this statement.
Can't concentrate.,I agree with this statement.,I do not agree with this statement.
Do things I later regret.,I agree with this statement.,I do not agree with this statement.
Don't know why I do some of the things I do.,I agree with this statement.,I do not agree with this statement.
Get out of control.,I agree with this statement.,I do not agree with this statement.
Am likely to show off if I get the chance.,I agree with this statement.,I do not agree with this statement.
Am more capable than most others.,I agree with this statement.,I do not agree with this statement.
Believe that I am better than others.,I agree with this statement.,I do not agree with this statement.
Boast about my virtues.,I agree with this statement.,I do not agree with this statement.
Like to attract attention.,I agree with this statement.,I do not agree with this statement.
Would like to have more power than other people.,I agree with this statement.,I do not agree with this statement.
Have a high opinion of myself.,I agree with this statement.,I do not agree with this statement.
Know the answers to many questions.,I agree with this statement.,I do not agree with this statement.
Make myself the center of attention.,I agree with this statement.,I do not agree with this statement.
Think highly of myself.,I agree with this statement.,I do not agree with this statement.
Like to stand out in a crowd.,I agree with this statement.,I do not agree with this statement.
Like to talk about myself.,I agree with this statement.,I do not agree with this statement.
Act at the expense of others.,I agree with this statement.,I do not agree with this statement.
Break rules.,I agree with this statement.,I do not agree with this statement.
Don't care about rules.,I agree with this statement.,I do not agree with this statement.
Only talk about my own interests.,I agree with this statement.,I do not agree with this statement.
Overestimate my achievements.,I agree with this statement.,I do not agree with this statement.
Scheme against others.,I agree with this statement.,I do not agree with this statement.
Turn my back on others.,I agree with this statement.,I do not agree with this statement.
Cheat to get ahead.,I agree with this statement.,I do not agree with this statement.
Know how to get around the rules.,I agree with this statement.,I do not agree with this statement.
Obstruct others' plans.,I agree with this statement.,I do not agree with this statement.
Pretend to be concerned for others.,I agree with this statement.,I do not agree with this statement.
Put people under pressure.,I agree with this statement.,I do not agree with this statement.
Take advantage of others.,I agree with this statement.,I do not agree with this statement.
Use flattery to get ahead.,I agree with this statement.,I do not agree with this statement.
Use others for my own ends.,I agree with this statement.,I do not agree with this statement.
Believe that the end justifies the means.,I agree with this statement.,I do not agree with this statement.
Do the opposite of what is asked.,I agree with this statement.,I do not agree with this statement.
Misuse power.,I agree with this statement.,I do not agree with this statement.
Try to fool others.,I agree with this statement.,I do not agree with this statement.
Avoid difficult reading material.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Have difficulty understanding abstract ideas.,I agree with this statement.,I do not agree with this statement.
Try to avoid complex people.,I agree with this statement.,I do not agree with this statement.
Am not bothered by disorder.,I agree with this statement.,I do not agree with this statement.
Am not bothered by messy people.,I agree with this statement.,I do not agree with this statement.
Leave a mess in my room.,I agree with this statement.,I do not agree with this statement.
Leave my belongings around.,I agree with this statement.,I do not agree with this statement.
Find it difficult showing people that I'm angry with them.,I agree with this statement.,I do not agree with this statement.
"Keep my feelings to myself, regardless of how scared I am.",I agree with this statement.,I do not agree with this statement.
"Keep my feelings to myself, regardless of how unhappy I am.",I agree with this statement.,I do not agree with this statement.
Rarely show my anger.,I agree with this statement.,I do not agree with this statement.
Wish I could more easily show my negative feelings.,I agree with this statement.,I do not agree with this statement.
Am not easily annoyed.,I agree with this statement.,I do not agree with this statement.
Am not embarrassed easily.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Keep my emotions under control.,I agree with this statement.,I do not agree with this statement.
Rarely feel depressed.,I agree with this statement.,I do not agree with this statement.
Rarely get irritated.,I agree with this statement.,I do not agree with this statement.
Rarely lose my composure.,I agree with this statement.,I do not agree with this statement.
Seldom feel blue.,I agree with this statement.,I do not agree with this statement.
Am not easily bothered by things.,I agree with this statement.,I do not agree with this statement.
Am relaxed most of the time.,I agree with this statement.,I do not agree with this statement.
Don't worry about things that have already happened.,I agree with this statement.,I do not agree with this statement.
Am not easily frustrated.,I agree with this statement.,I do not agree with this statement.
Am very pleased with myself.,I agree with this statement.,I do not agree with this statement.
Remain calm under pressure.,I agree with this statement.,I do not agree with this statement.
Seldom get mad.,I agree with this statement.,I do not agree with this statement.
Finish what I start.,I agree with this statement.,I do not agree with this statement.
Am a firm believer in thinking things through.,I agree with this statement.,I do not agree with this statement.
Make careful choices.,I agree with this statement.,I do not agree with this statement.
Am a law-abiding citizen.,I agree with this statement.,I do not agree with this statement.
Respect authority.,I agree with this statement.,I do not agree with this statement.
Believe only in myself.,I agree with this statement.,I do not agree with this statement.
Believe that I am better than others.,I agree with this statement.,I do not agree with this statement.
Make enemies.,I agree with this statement.,I do not agree with this statement.
Oppose authority.,I agree with this statement.,I do not agree with this statement.
Put people under pressure.,I agree with this statement.,I do not agree with this statement.
Seek danger.,I agree with this statement.,I do not agree with this statement.
Try to outdo others.,I agree with this statement.,I do not agree with this statement.
Am not interested in abstract ideas.,I agree with this statement.,I do not agree with this statement.
Am not interested in theoretical discussions.,I agree with this statement.,I do not agree with this statement.
Avoid philosophical discussions.,I agree with this statement.,I do not agree with this statement.
Believe that too much tax money goes to support artists.,I agree with this statement.,I do not agree with this statement.
Do not enjoy going to art museums.,I agree with this statement.,I do not agree with this statement.
Do not like art.,I agree with this statement.,I do not agree with this statement.
Do not like poetry.,I agree with this statement.,I do not agree with this statement.
Have difficulty understanding abstract ideas.,I agree with this statement.,I do not agree with this statement.
Rarely look for a deeper meaning in things.,I agree with this statement.,I do not agree with this statement.
Tend to vote for conservative political candidates.,I agree with this statement.,I do not agree with this statement.
Am not bothered by disorder.,I agree with this statement.,I do not agree with this statement.
Am not bothered by messy people.,I agree with this statement.,I do not agree with this statement.
Leave a mess in my room.,I agree with this statement.,I do not agree with this statement.
Leave my belongings around.,I agree with this statement.,I do not agree with this statement.
Put off unpleasant tasks.,I agree with this statement.,I do not agree with this statement.
Am continually losing things.,I agree with this statement.,I do not agree with this statement.
Can never find anything.,I agree with this statement.,I do not agree with this statement.
Dislike routine.,I agree with this statement.,I do not agree with this statement.
Am easily talked into doing silly things.,I agree with this statement.,I do not agree with this statement.
Do unexpected things.,I agree with this statement.,I do not agree with this statement.
Enjoy wild flights of fantasy.,I agree with this statement.,I do not agree with this statement.
Like variety.,I agree with this statement.,I do not agree with this statement.
Try to do too difficult things.,I agree with this statement.,I do not agree with this statement.
Don't pay attention.,I agree with this statement.,I do not agree with this statement.
Put little time and effort into my work.,I agree with this statement.,I do not agree with this statement.
Seldom notice details.,I agree with this statement.,I do not agree with this statement.
Am not bothered by disorder.,I agree with this statement.,I do not agree with this statement.
Don't finish the things that I start.,I agree with this statement.,I do not agree with this statement.
Leave a mess in my room.,I agree with this statement.,I do not agree with this statement.
Leave my belongings around.,I agree with this statement.,I do not agree with this statement.
Often forget to put things back in their proper place.,I agree with this statement.,I do not agree with this statement.
Put off unpleasant tasks.,I agree with this statement.,I do not agree with this statement.
Waste my time.,I agree with this statement.,I do not agree with this statement.
Am easily annoyed.,I agree with this statement.,I do not agree with this statement.
Get angry easily.,I agree with this statement.,I do not agree with this statement.
Get irritated easily.,I agree with this statement.,I do not agree with this statement.
Get upset easily.,I agree with this statement.,I do not agree with this statement.
Lose my temper.,I agree with this statement.,I do not agree with this statement.
Would describe myself as a normal person.,I agree with this statement.,I do not agree with this statement.
Am not bothered by disorder.,I agree with this statement.,I do not agree with this statement.
Am not bothered by messy people.,I agree with this statement.,I do not agree with this statement.
Complete tasks successfully.,I agree with this statement.,I do not agree with this statement.
Feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
Remain calm under pressure.,I agree with this statement.,I do not agree with this statement.
Seldom feel blue.,I agree with this statement.,I do not agree with this statement.
Pay too little attention to details.,I agree with this statement.,I do not agree with this statement.
Prefer to just let things happen.,I agree with this statement.,I do not agree with this statement.
Dislike looking at my body.,I agree with this statement.,I do not agree with this statement.
Dislike looking at myself in the mirror.,I agree with this statement.,I do not agree with this statement.
Don't consider myself attractive.,I agree with this statement.,I do not agree with this statement.
Choose the easy way.,I agree with this statement.,I do not agree with this statement.
Come up with unworkable plans.,I agree with this statement.,I do not agree with this statement.
Do not think about decisions.,I agree with this statement.,I do not agree with this statement.
Don't bother to make an effort.,I agree with this statement.,I do not agree with this statement.
Feel that my interests change quickly.,I agree with this statement.,I do not agree with this statement.
Jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
Like to act on a whim.,I agree with this statement.,I do not agree with this statement.
Make a mess of things.,I agree with this statement.,I do not agree with this statement.
Make rash decisions.,I agree with this statement.,I do not agree with this statement.
Often make last-minute plans.,I agree with this statement.,I do not agree with this statement.
Am hard to satisfy.,I agree with this statement.,I do not agree with this statement.
Am quick to judge others.,I agree with this statement.,I do not agree with this statement.
Contradict others.,I agree with this statement.,I do not agree with this statement.
Criticize others' shortcomings.,I agree with this statement.,I do not agree with this statement.
Find it hard to forgive others.,I agree with this statement.,I do not agree with this statement.
Insult people.,I agree with this statement.,I do not agree with this statement.
Am often in a bad mood.,I agree with this statement.,I do not agree with this statement.
Get furious.,I agree with this statement.,I do not agree with this statement.
Have a sharp tongue.,I agree with this statement.,I do not agree with this statement.
Shoot my mouth off.,I agree with this statement.,I do not agree with this statement.
Speak ill of others.,I agree with this statement.,I do not agree with this statement.
Find it difficult to approach others.,I agree with this statement.,I do not agree with this statement.
Give up easily.,I agree with this statement.,I do not agree with this statement.
Often feel uncomfortable around others.,I agree with this statement.,I do not agree with this statement.
Only feel comfortable with friends.,I agree with this statement.,I do not agree with this statement.
Retreat from others.,I agree with this statement.,I do not agree with this statement.
Can't make up my mind.,I agree with this statement.,I do not agree with this statement.
Don't know why I do some of the things I do.,I agree with this statement.,I do not agree with this statement.
Feel that I'm unable to deal with things.,I agree with this statement.,I do not agree with this statement.
Feel threatened easily.,I agree with this statement.,I do not agree with this statement.
Mess things up.,I agree with this statement.,I do not agree with this statement.
Panic easily.,I agree with this statement.,I do not agree with this statement.
Am easily put out.,I agree with this statement.,I do not agree with this statement.
Back out at the last moment.,I agree with this statement.,I do not agree with this statement.
Break my promises.,I agree with this statement.,I do not agree with this statement.
Cut conversations short.,I agree with this statement.,I do not agree with this statement.
Do things behind other people's backs.,I agree with this statement.,I do not agree with this statement.
Don't put a lot of thought into things.,I agree with this statement.,I do not agree with this statement.
Get annoyed with others' behaviors.,I agree with this statement.,I do not agree with this statement.
Hang up the phone on people.,I agree with this statement.,I do not agree with this statement.
Scheme against others.,I agree with this statement.,I do not agree with this statement.
Find it difficult showing people that I care about them.,I agree with this statement.,I do not agree with this statement.
Have difficulty showing affection.,I agree with this statement.,I do not agree with this statement.
Keep my happy feelings to myself.,I agree with this statement.,I do not agree with this statement.
Am out for my own personal gain.,I agree with this statement.,I do not agree with this statement.
Believe that I am better than others.,I agree with this statement.,I do not agree with this statement.
Insult people.,I agree with this statement.,I do not agree with this statement.
Love a good fight.,I agree with this statement.,I do not agree with this statement.
Seek conflict.,I agree with this statement.,I do not agree with this statement.
Take advantage of others.,I agree with this statement.,I do not agree with this statement.
Dislike learning.,I agree with this statement.,I do not agree with this statement.
Disliked math in school.,I agree with this statement.,I do not agree with this statement.
Inquire about others' well-being.,I agree with this statement.,I do not agree with this statement.
Reassure others.,I agree with this statement.,I do not agree with this statement.
Can't stand confrontations.,I agree with this statement.,I do not agree with this statement.
Hate to seem pushy.,I agree with this statement.,I do not agree with this statement.
Wait for my turn.,I agree with this statement.,I do not agree with this statement.
Act impulsively when something is bothering me.,I agree with this statement.,I do not agree with this statement.
Do things without thinking of the consequences.,I agree with this statement.,I do not agree with this statement.
Don't know why I do some of the things I do.,I agree with this statement.,I do not agree with this statement.
Jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
Make a fool of myself.,I agree with this statement.,I do not agree with this statement.
Make careless mistakes.,I agree with this statement.,I do not agree with this statement.
Make rash decisions.,I agree with this statement.,I do not agree with this statement.
Behave in unusual and strange ways.,I agree with this statement.,I do not agree with this statement.
Am not concerned with making a good impression.,I agree with this statement.,I do not agree with this statement.
Am not easily bothered by things.,I agree with this statement.,I do not agree with this statement.
Am not embarrassed easily.,I agree with this statement.,I do not agree with this statement.
Don't worry about things that have already happened.,I agree with this statement.,I do not agree with this statement.
Feel comortable with myself.,I agree with this statement.,I do not agree with this statement.
Seldom feel blue.,I agree with this statement.,I do not agree with this statement.
Am easily distracted.,I agree with this statement.,I do not agree with this statement.
Can't make up my mind.,I agree with this statement.,I do not agree with this statement.
Do things at the last minute.,I agree with this statement.,I do not agree with this statement.
Don't see things through.,I agree with this statement.,I do not agree with this statement.
